invoice_number,invoice_date,vendor_name,gstin,taxable_value,cgst,sgst,igst,purchase_ledger
AMD2-1171,05.05.2025,CHERIAN ENTERPRISES,24AANPR8451M1ZZ,3246.10,0.00,0.00,584.30,Manufacturing vendor
AMD2-3862,12.08.2025,CHERIAN ENTERPRISES,24AANPR8451M1ZZ,3758.04,0.00,0.00,676.45,Manufacturing vendor
BLR7-10525,14.01.2026,CHERIAN ENTERPRISES,29AANPR8451M1ZP,3645.29,0.00,0.00,656.16,Manufacturing vendor
BLR7-8177,14.01.2026,CHERIAN ENTERPRISES,29ADCPT8466G1ZY,4913.94,0.00,0.00,884.52,Manufacturing vendor
BLR8-14563,01.12.2025,CHERIAN ENTERPRISES,29AANPR8451M1ZP,3645.29,0.00,0.00,656.16,Manufacturing vendor
BLR8-390,07.04.2025,CHERIAN ENTERPRISES,29AANPR8451M1ZP,3571.32,0.00,0.00,642.84,Manufacturing vendor
BLR8-391,07.04.2025,CHERIAN ENTERPRISES,29AANPR8451M1ZP,3571.32,0.00,0.00,642.84,Manufacturing vendor
BLR8-6425,18.07.2025,CHERIAN ENTERPRISES,29AANPR8451M1ZP,3598.31,0.00,0.00,647.69,Manufacturing vendor
BOM5-13884,23.01.2026,CHERIAN ENTERPRISES,27AANPR8451M1ZT,3645.29,0.00,0.00,656.16,Manufacturing vendor
BOM5-5782,12.08.2025,CHERIAN ENTERPRISES,27AANPR8451M1ZT,3758.04,0.00,0.00,676.45,Manufacturing vendor
BOM7-8226,13.12.2025,CHERIAN ENTERPRISES,27AANPR8451M1ZT,3645.29,0.00,0.00,656.16,Manufacturing vendor
CCX1-1638,19.05.2025,CHERIAN ENTERPRISES,19AANPR8451M1ZQ,3375.65,0.00,0.00,607.62,Manufacturing vendor
CJB1-10077,23.01.2026,CHERIAN ENTERPRISES,33AANPR8451M1Z0,3645.30,0.00,0.00,656.16,Manufacturing vendor
CJB1-2466,24.06.2025,CHERIAN ENTERPRISES,33AANPR8451M1Z0,3418.39,0.00,0.00,615.31,Manufacturing vendor
CJB1-3280,18.07.2025,CHERIAN ENTERPRISES,33AANPR8451M1Z0,3598.31,0.00,0.00,647.69,Manufacturing vendor
CJB1-8340,01.12.2025,CHERIAN ENTERPRISES,33AANPR8451M1Z0,3645.30,0.00,0.00,656.16,Manufacturing vendor
DED4-3178,25.08.2025,CHERIAN ENTERPRISES,06AANPR8451M1ZX,3758.04,0.00,0.00,676.45,Manufacturing vendor
DED4-3179,25.08.2025,CHERIAN ENTERPRISES,06AANPR8451M1ZX,3758.04,0.00,0.00,676.45,Manufacturing vendor
GAX1-506,19.05.2025,CHERIAN ENTERPRISES,18AANPR8451M1ZS,3375.65,0.00,0.00,607.62,Manufacturing vendor
GAX1-507,19.05.2025,CHERIAN ENTERPRISES,18AANPR8451M1ZS,3375.65,0.00,0.00,607.62,Manufacturing vendor
HYD8-1937,24.06.2025,CHERIAN ENTERPRISES,36AANPR8451M1ZU,3418.39,0.00,0.00,615.31,Manufacturing vendor
HYD8-441,19.04.2025,CHERIAN ENTERPRISES,36AANPR8451M1ZU,3392.75,0.00,0.00,610.70,Manufacturing vendor
HYD8-442,19.04.2025,CHERIAN ENTERPRISES,36AANPR8451M1ZU,3392.75,0.00,0.00,610.70,Manufacturing vendor
LKO1-1270,05.05.2025,CHERIAN ENTERPRISES,09AANPR8451M1ZR,3246.10,0.00,0.00,584.30,Manufacturing vendor
MAA4-7121,08.11.2025,CHERIAN ENTERPRISES,33AANPR8451M1Z0,3645.29,0.00,0.00,656.16,Manufacturing vendor
MAA4-7123,08.11.2025,CHERIAN ENTERPRISES,33AANPR8451M1Z0,3645.30,0.00,0.00,656.16,Manufacturing vendor
MAA4-8550,13.12.2025,CHERIAN ENTERPRISES,33AANPR8451M1Z0,3645.30,0.00,0.00,656.16,Manufacturing vendor
TWCX-1454,19.05.2025,CHERIAN ENTERPRISES,27AANPR8451M1ZT,6751.32,0.00,0.00,1215.24,Manufacturing vendor
